0,1,2,3,4,5
1632248274879,1.5,24.06,7.0,13,18.698242
1632248281961,13.1,24.09,6.5882354,17,20.347656
1632248289054,1.0,24.09,6.7083335,24,6.647461
1632248296142,2.5,24.09,6.44,25,6.321289
1632248303203,0.5,24.09,6.6875,32,7.501953
1632248310266,0.5,24.09,6.3333335,21,19.661133
1632248317335,1.5,24.09,6.2916665,24,8.701172
1632248324405,1.5,24.09,6.392857,28,5.9853516
1632248331464,2.0,24.09,6.8421054,19,6.6416016
1632248338531,1.5,24.09,6.5,18,7.084961
1632248345593,1.0,24.09,6.409091,22,19.18164
1632248352659,0.5,24.09,6.44,25,7.1123047
1632248359729,0.5,24.09,6.5714283,21,5.823242
1632248366794,2.5,24.09,6.5,22,7.5390625
1632248373848,1.0,24.09,6.423077,26,6.53125
1632248380904,2.0,24.09,6.590909,22,5.7490234
1632248387969,1.5,24.09,6.2608695,23,7.1689453
1632248395030,0.5,24.09,6.3809524,21,17.631836
1632248402093,1.0,24.09,6.2916665,24,5.288086
1632248409160,1.0,24.09,6.4761906,21,8.452148
1632248416238,1.5,24.09,6.5,28,5.475586
1632248423303,0.5,24.09,6.2727275,22,7.163086
1632248430364,1.5,24.09,6.2272725,22,17.701172
1632248437430,1.0,24.09,6.285714,28,8.8671875
1632248444491,1.0,24.09,6.3448277,29,7.073242
1632248451553,1.5,24.09,1380.0,24,5.868164
1632248458611,0.5,24.09,6.52,25,6.751953
1632248465673,1.0,24.09,6.368421,19,18.243164
1632248472737,0.5,24.09,6.0833335,24,6.3408203
1632248479800,1.5,24.09,6.3157897,19,7.254883
1632248486865,2.0,24.09,6.24,25,6.2626953
1632248493925,1.0,24.09,6.259259,27,6.708008
1632248500986,3.0,24.09,6.2916665,24,6.6435547
1632248508051,0.5,24.09,6.357143,28,10.69043
1632248515111,2.0,24.09,6.3636365,22,18.917969
1632248522174,1.5,24.09,6.1904764,21,5.307617
1632248529237,0.5,24.09,6.6363635,22,6.8251953
1632248536301,2.0,24.09,6.1851854,27,5.696289
1632248543365,0.5,24.09,6.5263157,19,9.0546875
1632248550431,1.0,24.11,6.3333335,18,17.82129
1632248557501,1.0,24.09,6.1666665,24,9.591797
1632248564564,2.0,24.09,6.16129,31,6.439453
1632248571628,2.0,24.09,7.107143,28,7.1591797
1632248578688,0.0,24.09,6.2903223,31,8.87793
1632248585745,1.0,24.09,6.4761906,21,17.583008
1632248592819,0.5,24.09,6.25,20,7.3164062
1632248599880,1.5,24.09,6.409091,22,17.641602
1632248606938,1.5,24.09,6.259259,27,5.479492
1632248614000,0.5,24.09,6.28,25,7.3291016
1632248621061,1.0,24.09,6.074074,27,6.321289
1632248628122,1.0,24.11,6.1666665,18,8.333008
1632248635192,1.0,24.09,8.206897,29,19.881836
1632248642255,1.0,24.09,6.3076925,26,5.4765625
1632248649318,2.0,24.09,6.111111,18,6.1416016
1632248656375,2.0,24.09,6.1923075,26,9.256836
1632248663437,0.5,24.09,6.1666665,18,9.44043
1632248670493,0.0,24.09,6.137931,29,19.37207
1632248677556,1.0,24.09,6.0625,16,8.3046875
1632248684610,0.5,24.11,7.2727275,22,6.067383
1632248691678,2.5,24.09,6.3809524,21,5.364258
1632248698748,1.0,24.11,6.25,28,7.4853516
1632248705809,1.0,24.09,6.142857,21,18.47754
1632248712857,1.0,24.09,6.0882354,34,8.151367
1632248719921,1.0,24.09,6.0588236,17,19.036133
1632248726986,1.5,24.14,6.0416665,24,7.7802734
1632248734046,2.0,24.11,6.1153846,26,7.6035156
1632248741106,3.0,24.09,6.148148,27,7.6757812
1632248748168,1.0,24.14,6.1666665,24,9.360352
1632248755233,2.0,24.14,6.0869565,23,20.25879
1632248762294,1.5,24.14,6.1363635,22,8.567383
1632248769364,2.5,24.14,6.1785717,28,8.12207
1632248776420,2.0,24.11,6.1538463,26,6.258789
1632248783478,1.5,24.11,6.32,25,9.959961
1632248790542,0.5,24.11,6.0,21,18.645508
1632248797597,0.5,24.14,6.1666665,18,8.462891
1632248804647,2.0,24.14,1130.0,16,5.25
1632248811704,2.5,24.14,6.1363635,22,7.274414
1632248818763,0.5,24.14,6.0689654,29,7.2001953
1632248825826,0.5,24.14,6.1363635,22,17.813477
1632248832879,0.5,24.14,6.05,20,8.397461
1632248839943,0.0,24.11,6.037037,27,17.969727
1632248847011,1.5,24.14,6.0833335,24,4.9746094
1632248854063,0.5,24.14,1130.0,16,5.805664
1632248861135,3.5,24.11,6.0869565,23,6.2626953
1632248868199,1.0,24.14,1130.0,24,7.446289
1632248875261,1.0,24.14,6.142857,21,18.205078
1632248882315,0.5,24.14,6.0,18,5.6396484
1632248889373,1.5,24.14,6.263158,19,6.709961
1632248896437,2.0,24.11,6.1538463,26,5.8085938
1632248903501,1.0,24.11,6.0,28,9.485352
1632248910565,0.0,24.09,6.076923,26,19.213867
1632248917625,2.0,24.09,6.0434785,23,9.374023
1632248924684,1.0,24.11,6.0,25,9.905273
1632248931770,2.5,24.11,6.130435,23,5.7529297
1632248938839,1.0,24.09,6.0434785,23,6.810547
1632248945895,1.0,24.09,6.1538463,13,19.100586
1632248952949,0.5,24.11,6.1923075,26,9.161133
1632248960010,1.5,24.11,6.035714,28,18.09082
1632248967070,0.5,24.09,6.05,20,7.100586
1632248974128,0.5,24.11,6.090909,22,7.649414
1632248981216,2.0,24.11,6.16,25,5.479492
1632248988273,0.5,24.09,6.08,25,10.645508
1632248995332,1.0,24.11,6.0454545,22,18.217773
1632249002390,0.5,24.09,5.952381,21,5.8115234
1632249009453,0.5,24.11,6.1666665,18,7.8779297
1632249016518,1.0,24.11,6.0588236,34,5.8720703
1632249023581,0.5,24.11,6.142857,21,7.9189453
1632249030645,0.5,24.09,6.055556,18,20.829102
1632249037713,0.5,24.09,6.0625,32,8.029297
1632249044769,1.0,24.11,6.130435,23,7.149414
1632249051829,1.5,24.11,6.037037,27,8.436523
1632249058914,0.5,24.11,6.1363635,22,8.942383
1632249065969,1.5,24.11,6.1666665,24,7.8789062
1632249073026,1.0,24.11,6.25,24,7.7646484
1632249080095,1.0,24.11,6.2105265,19,19.569336
1632249087167,0.5,24.09,6.0384617,26,6.0498047
1632249094233,1.0,24.11,6.1,20,7.2158203
1632249101289,2.5,24.11,5.9333334,30,7.334961
1632249108355,2.0,24.11,6.172414,29,7.3271484
1632249115417,1.0,24.11,6.1,20,19.15625
1632249122480,1.0,24.11,6.1,20,7.0947266
1632249129545,1.0,24.11,6.1904764,21,7.696289
1632249136609,2.0,24.11,6.1034484,29,7.2802734
1632249143672,0.5,24.11,6.142857,21,7.973633
1632249150735,1.0,24.11,6.105263,19,18.205078
1632249157800,1.5,24.11,6.0,21,9.259766
1632249164863,1.0,24.11,6.032258,31,5.350586
1632249171926,1.5,24.11,6.142857,21,8.374023
1632249178983,1.0,24.11,6.0,36,8.629883
1632249186042,2.0,24.11,6.037037,27,5.814453
1632249193101,0.5,24.11,6.1875,16,7.3789062
1632249200176,1.0,24.11,6.0,25,18.598633
1632249207236,1.5,24.11,5.9545455,22,7.6708984
1632249214300,1.5,24.11,5.962963,27,6.817383
1632249221380,2.5,24.11,6.035714,28,6.260742
1632249228448,2.0,24.11,6.1,20,6.821289
1632249235506,1.0,24.11,13.653846,26,19.78418
1632249242571,1.0,24.11,6.04,25,5.2490234
1632249249632,1.0,24.09,6.1904764,21,6.6933594
1632249256686,2.0,24.11,6.1363635,22,7.208008
1632249263736,1.5,24.11,6.0454545,22,7.0908203
1632249270798,1.5,24.11,5.8965516,29,18.154297
1632249277854,0.5,24.11,6.0625,16,8.029297
1632249284908,1.5,24.11,6.1,20,6.7021484
1632249291972,2.5,24.11,6.05,20,7.4785156
1632249299029,1.0,24.11,6.037037,27,6.647461
1632249306088,1.5,24.11,6.037037,27,6.426758
