0,1,2,3,4
1.5,24.06,7.0,13,18.698242
13.1,24.09,6.5882354,17,20.347656
1.0,24.09,6.7083335,24,6.647461
2.5,24.09,6.44,25,6.321289
0.5,24.09,6.6875,32,7.501953
0.5,24.09,6.3333335,21,19.661133
1.5,24.09,6.2916665,24,8.701172
1.5,24.09,6.392857,28,5.9853516
2.0,24.09,6.8421054,19,6.6416016
1.5,24.09,6.5,18,7.084961
1.0,24.09,6.409091,22,19.18164
0.5,24.09,6.44,25,7.1123047
0.5,24.09,6.5714283,21,5.823242
2.5,24.09,6.5,22,7.5390625
1.0,24.09,6.423077,26,6.53125
2.0,24.09,6.590909,22,5.7490234
1.5,24.09,6.2608695,23,7.1689453
0.5,24.09,6.3809524,21,17.631836
1.0,24.09,6.2916665,24,5.288086
1.0,24.09,6.4761906,21,8.452148
1.5,24.09,6.5,28,5.475586
0.5,24.09,6.2727275,22,7.163086
1.5,24.09,6.2272725,22,17.701172
1.0,24.09,6.285714,28,8.8671875
1.0,24.09,6.3448277,29,7.073242
1.5,24.09,1380.0,24,5.868164
0.5,24.09,6.52,25,6.751953
1.0,24.09,6.368421,19,18.243164
0.5,24.09,6.0833335,24,6.3408203
1.5,24.09,6.3157897,19,7.254883
2.0,24.09,6.24,25,6.2626953
1.0,24.09,6.259259,27,6.708008
3.0,24.09,6.2916665,24,6.6435547
0.5,24.09,6.357143,28,10.69043
2.0,24.09,6.3636365,22,18.917969
1.5,24.09,6.1904764,21,5.307617
0.5,24.09,6.6363635,22,6.8251953
2.0,24.09,6.1851854,27,5.696289
0.5,24.09,6.5263157,19,9.0546875
1.0,24.11,6.3333335,18,17.82129
1.0,24.09,6.1666665,24,9.591797
2.0,24.09,6.16129,31,6.439453
2.0,24.09,7.107143,28,7.1591797
0.0,24.09,6.2903223,31,8.87793
1.0,24.09,6.4761906,21,17.583008
0.5,24.09,6.25,20,7.3164062
1.5,24.09,6.409091,22,17.641602
1.5,24.09,6.259259,27,5.479492
0.5,24.09,6.28,25,7.3291016
1.0,24.09,6.074074,27,6.321289
1.0,24.11,6.1666665,18,8.333008
1.0,24.09,8.206897,29,19.881836
1.0,24.09,6.3076925,26,5.4765625
2.0,24.09,6.111111,18,6.1416016
2.0,24.09,6.1923075,26,9.256836
0.5,24.09,6.1666665,18,9.44043
0.0,24.09,6.137931,29,19.37207
1.0,24.09,6.0625,16,8.3046875
0.5,24.11,7.2727275,22,6.067383
2.5,24.09,6.3809524,21,5.364258
1.0,24.11,6.25,28,7.4853516
